ID,Name,1C vs 1A,2C vs 2A,3C vs 3A,1C vs 2C,2C vs 3C,1C vs 3C,1C,2C,3C,1A,2A,3A,1C,2C,3C,1A,2A,3A,1C,2C,3C,1A,2A,3A
50225,cel-miR-1828,N/A,0.597129446,N/A,2.693439608,0.575507199,1.550093884,109.5,118,132,178,89,71,57.5,52.5,64,-31,29,-1,0.493562232,0.183246073,0.31840796,N/A,0.306878307,N/A
49809,,N/A,2.3671081,N/A,3.426792373,0.891579407,3.055257511,150,129.5,106.5,156.5,62.5,70,85,61,48,-55.5,8.5,-2,0.729613734,0.212914485,0.23880597,N/A,0.08994709,N/A
49974,,N/A,0.368647983,0.333166485,2.286650102,0.695470066,1.590296697,102,127.5,120.5,187,99,163.5,53,57,57.5,-21.5,51,82,0.454935622,0.19895288,0.286069652,N/A,0.53968254,0.858638743
49733,cel-miR-80-5p,N/A,2.345549738,N/A,6.14806867,0.305445739,1.877901375,128,103,132,87.5,56.5,63,80,32,73.5,-94.5,4.5,-13.5,0.686695279,0.111692845,0.365671642,N/A,0.047619048,N/A
47179,,N/A,1.671204188,N/A,4.594872374,0.544075222,2.499956206,118,111.5,116,96,61,69.5,71,38,49,-86.5,7.5,-10,0.60944206,0.132635253,0.243781095,N/A,0.079365079,N/A
49082,,N/A,3.958115183,N/A,3.24481402,0.481077038,1.561005518,94.5,112.5,128.5,129.5,55.5,66.5,47.5,36,52.5,-81.5,3,-9.5,0.407725322,0.12565445,0.26119403,N/A,0.031746032,N/A
48660,,0.76309907,0.25264565,0.933157951,2.759799714,0.462574075,1.2766118,149.5,163.5,204,294.5,181.5,161.5,101,90,136.5,96,117.5,69.5,0.86695279,0.314136126,0.679104478,1.136094675,1.243386243,0.727748691
48156,,N/A,2.00104712,N/A,3.783426874,0.377768828,1.429260736,122.5,113.5,139.5,116.5,60,68.5,70,45.5,84.5,-77.5,7.5,-10.5,0.600858369,0.158813264,0.42039801,N/A,0.079365079,N/A
14261,spike_control_a,N/A,7.256544503,N/A,4.080081935,0.358943139,1.464517417,83,92,111,64.5,51,60,36.5,22,43,-4,1,-12,0.313304721,0.076788831,0.213930348,N/A,0.010582011,N/A
49054,,N/A,1.130890052,N/A,2.643669528,0.507159528,1.34076219,113.5,126,144,144.5,68,75.5,64.5,60,83,-76,17.5,-1,0.553648069,0.209424084,0.412935323,N/A,0.185185185,N/A
50383,,N/A,1.172774869,N/A,6.455472103,0.22227982,1.434921175,89.5,87.5,118,122.5,58.5,65.5,42,16,50.5,-135.5,4.5,-12,0.360515021,0.055846422,0.251243781,N/A,0.047619048,N/A
49707,cel-miR-73-3p,N/A,17.53359511,22.22718227,0.242453013,1.565377877,0.379530583,332.5,2934.5,1350.5,223.5,105.5,111.5,283,2870.5,1286.5,-71.5,54,27.5,2.429184549,10.01919721,6.400497512,N/A,0.571428571,0.287958115
49996,,N/A,1.772905759,N/A,2.859566823,0.574619796,1.643163703,100.5,109.5,120,171,62,68.5,50,43,52.5,-96.5,8,-3,0.429184549,0.15008726,0.26119403,N/A,0.084656085,N/A
50297,,N/A,1.429319372,N/A,3.59425553,0.380017452,1.365879828,87,93,105.5,114.5,58,64.5,38,26,48,-97,6,-9.5,0.326180258,0.090750436,0.23880597,N/A,0.063492063,N/A
11069,,N/A,0.503010471,9.621268657,3.829944417,0.264171676,1.011762836,99,101.5,150,148.5,70.5,75.5,47.5,30.5,81,-86.5,20,4,0.407725322,0.106457243,0.402985075,N/A,0.211640212,0.041884817
49391,,N/A,0.846118825,N/A,3.209500255,0.154450262,0.495708155,87.5,98.5,208,148,63.5,66,38.5,29.5,134,-80,11.5,-5,0.330472103,0.102966841,0.666666667,N/A,0.121693122,N/A
49177,,N/A,1.722513089,N/A,3.453383253,0.333068909,1.150214592,82.5,99,112,98,58,63,33,23.5,49.5,-118,4.5,-15,0.283261803,0.082024433,0.246268657,N/A,0.047619048,N/A
47743,,N/A,2.278914802,N/A,3.36525864,0.429994933,1.447044164,102,113,122.5,87.5,59,68,52,38,62,-92,5.5,-13.5,0.446351931,0.132635253,0.308457711,N/A,0.058201058,N/A
49605,,N/A,18.17228403,N/A,0.369651321,4.433222616,1.638746597,183,954.5,200,131.5,67,76,132.5,881.5,139.5,-65,16,-3,1.137339056,3.076788831,0.694029851,N/A,0.169312169,N/A
49164,,N/A,2.428843408,N/A,4.463042442,0.481586654,2.149341675,120.5,109,110,111.5,61,59,73.5,40.5,59,-79,5.5,-15.5,0.630901288,0.141361257,0.293532338,N/A,0.058201058,N/A
47402,,N/A,2.045026178,N/A,4.601135262,0.362478185,1.667811159,136.5,117.5,156,111.5,64.5,69,87,46.5,90,-91,7.5,-8.5,0.746781116,0.162303665,0.447761194,N/A,0.079365079,N/A
50171,,N/A,1.560410793,N/A,3.47890715,0.45900635,1.596840471,135,131,172,111,62.5,69,87,61.5,94,-86,13,-8,0.746781116,0.214659686,0.467661692,N/A,0.137566138,N/A
50133,,N/A,0.780628272,N/A,4.641358883,0.334305492,1.551631765,114.5,101.5,142.5,164,68.5,74.5,67,35.5,74.5,-65,15,-4,0.575107296,0.12390925,0.370646766,N/A,0.158730159,N/A
49124,,N/A,1.319371728,N/A,4.186541999,0.377768828,1.581545064,120.5,114,146,109,61,63.5,71.5,42,78,-71.5,10.5,-13,0.613733906,0.146596859,0.388059701,N/A,0.111111111,N/A
14262,spike_control_f,N/A,2.286910995,N/A,3.47602344,0.453188514,1.575293898,122.5,122.5,152.5,69,59,62.5,73.5,52,80.5,0,7.5,-10,0.630901288,0.181500873,0.400497512,N/A,0.079365079,N/A
49678,,N/A,1.727748691,N/A,3.375848615,0.448678924,1.514672123,119,126,161,111.5,63.5,68,75.5,55,86,-134,10.5,-6.5,0.64806867,0.191972077,0.427860697,N/A,0.111111111,N/A
47600,,N/A,1.09947644,N/A,3.639656652,0.343907196,1.251704115,87,91,119.5,112,59,63,37,25,51,-186,7.5,-14.5,0.317596567,0.087260035,0.253731343,N/A,0.079365079,N/A
49976,cel-miR-248,N/A,2.853141361,N/A,1.776898459,0.60990818,1.083744905,114.5,157.5,169.5,116.5,63,66.5,62.5,86.5,99.5,-177.5,10,-5,0.536480687,0.301919721,0.495024876,N/A,0.105820106,N/A
49209,,5.427408613,0.311043594,0.831467662,2.932155827,1.072990453,3.146175208,157,163.5,123.5,437,147,105,108.5,91,59.5,14.5,96.5,34,0.931330472,0.317626527,0.2960199,0.171597633,1.021164021,0.356020942
42731,,N/A,0.783376963,1.163235546,3.028732776,0.469360667,1.421568035,106.5,118.5,136,241.5,70.5,103.5,58.5,47.5,71,-32.5,20,29,0.502145923,0.165794066,0.353233831,N/A,0.211640212,0.303664921
49050,cel-miR-354,N/A,1.749601639,4.343994314,2.187099838,0.891579407,1.949973176,159,193,161,218,77,82.5,108.5,122,96,-40,23,10.5,0.931330472,0.42582897,0.47761194,N/A,0.243386243,0.109947644
49500,,N/A,2.308900524,N/A,3.71393536,0.429712042,1.595922747,127,122.5,148,89,56.5,64.5,74,49,80,-130.5,7,-11.5,0.635193133,0.171029668,0.39800995,N/A,0.074074074,N/A
48981,,N/A,0.683246073,5.422007609,2.459227468,0.734117774,1.805362595,159,176,159,184.5,106,87,101.5,101.5,97,-63,49,8.5,0.871244635,0.354275742,0.482587065,N/A,0.518518519,0.089005236
48167,,0.120747228,0.760798429,0.163912373,0.45694033,1.836882694,0.839345784,122,459.5,214.5,640,215.5,758.5,72,387.5,148,432.5,168,429,0.618025751,1.352530541,0.736318408,5.118343195,1.777777778,4.492146597
49876,,N/A,0.814169262,0.516578183,1.576427864,0.844483227,1.331266889,114,169,148,154,90.5,184.5,62.5,97.5,81,-18,39.5,74.5,0.536480687,0.340314136,0.402985075,N/A,0.417989418,0.780104712
50376,,N/A,1.874896666,N/A,2.618621841,0.488836345,1.28007753,111,126,149,119.5,62.5,69.5,57.5,54,77.5,-75.5,9.5,-8.5,0.493562232,0.188481675,0.385572139,N/A,0.100529101,N/A
48933,,N/A,1.610409609,N/A,3.585138839,0.390807829,1.401100325,108.5,107,148,100,60.5,61,60.5,41.5,74.5,-110,8.5,-19.5,0.519313305,0.144851658,0.370646766,N/A,0.08994709,N/A
49704,cel-miR-62,N/A,2.770680628,N/A,5.67964439,0.35078534,1.99233599,98,95.5,123.5,94.5,57.5,56.5,48.5,21,42,-121,2.5,-20,0.416309013,0.073298429,0.208955224,N/A,0.026455026,N/A
49559,,N/A,0.718888441,N/A,2.401363292,0.662594532,1.591130186,87,113,118,142.5,71,71,41.5,42.5,45,-64.5,19.5,-4.5,0.356223176,0.148342059,0.223880597,N/A,0.206349206,N/A
50138,,N/A,1.443062827,N/A,3.548313918,0.412688636,1.46434883,103,106.5,127.5,101,57.5,59.5,50.5,35,59.5,-107,8,-15.5,0.433476395,0.122164049,0.2960199,N/A,0.084656085,N/A
14263,spike_control_b,N/A,2.968586387,N/A,2.869098712,0.474747077,1.362096228,104.5,115,137.5,68,58.5,61.5,52.5,45,66.5,-1,5,-11,0.450643777,0.157068063,0.330845771,N/A,0.052910053,N/A
50099,,N/A,4.391034031,N/A,1.962763707,0.762421199,1.496452658,132,171,163,139.5,60.5,71.5,85,106.5,98,-159.5,8,-8,0.729613734,0.371727749,0.487562189,N/A,0.084656085,N/A
49087,,N/A,4.370418848,N/A,2.273625395,0.729083256,1.657662207,76,96.5,102,109.5,52,55.5,24.5,26.5,25.5,-224,2,-17,0.210300429,0.092495637,0.126865672,N/A,0.021164021,N/A
50008,,N/A,1.776077326,N/A,5.550827713,0.454721737,2.524082022,126.5,98.5,118.5,117.5,58,69,79,35,54,-165,6.5,-3.5,0.678111588,0.122164049,0.268656716,N/A,0.068783069,N/A
50087,,N/A,5.937172775,N/A,2.220135908,0.355725979,0.789760019,82.5,105,129.5,112.5,54.5,65.5,32.5,36,71,-167.5,2,-7,0.278969957,0.12565445,0.353233831,N/A,0.021164021,N/A
-1,,N/A,2.055175191,N/A,3.127165792,0.454617801,1.421665236,105.5,115.5,120,71,58.5,68.5,51.5,40.5,62.5,-3,6.5,-5.5,0.442060086,0.141361257,0.310945274,N/A,0.068783069,N/A
48939,,N/A,1.913089005,N/A,2.077623206,0.640804716,1.331350749,97.5,128.5,122.5,103,60.5,62.5,49,58,63.5,-165.5,10,-16,0.420600858,0.202443281,0.315920398,N/A,0.105820106,N/A
49289,,N/A,1.37434555,N/A,5.410300429,0.43485786,2.352711666,134.5,107,116,113,60,69.5,82.5,37.5,60.5,-136.5,9,-11.5,0.708154506,0.130890052,0.300995025,N/A,0.095238095,N/A
49180,cel-miR-262,N/A,2.61934093,N/A,2.987505961,0.782744148,2.338452807,133,139,121.5,90,58,70.5,82,67.5,60.5,-113.5,8.5,-5.5,0.703862661,0.235602094,0.300995025,N/A,0.08994709,N/A
49451,,N/A,1.90144749,N/A,4.592230884,0.474165012,2.177475211,142,113,135,109,61.5,71.5,91.5,49,72.5,-86.5,8.5,-3.5,0.785407725,0.171029668,0.360696517,N/A,0.08994709,N/A
49334,cel-miR-46-3p,N/A,N/A,N/A,0.805185464,1.523169116,1.226433632,199.5,519.5,316,119,53,73,147.5,450.5,207.5,-68,-0.5,-10,1.266094421,1.572425829,1.032338308,N/A,N/A,N/A
49635,cel-miR-55-3p,1.254276144,0.95844655,1.55225294,0.843945922,1.260386979,1.063698451,407,1101.5,683.5,474,407,268,354.5,1033,575,205,355.5,176,3.042918455,3.605584642,2.860696517,2.426035503,3.761904762,1.842931937
49987,,N/A,1.16104712,N/A,3.744732735,0.444159855,1.66325995,120.5,113.5,160,134.5,69.5,67.5,67,44,69.5,-92.5,12.5,-9.5,0.575107296,0.153577661,0.345771144,N/A,0.132275132,N/A
49595,,N/A,1.370116794,N/A,5.692656175,0.492010607,2.800847221,110.5,98,119.5,101.5,61,59.5,62.5,27,38.5,-96,6.5,-18.5,0.536480687,0.094240838,0.191542289,N/A,0.068783069,N/A
50195,,N/A,1.012018087,12.92338308,2.696041965,0.696412073,1.877556173,120.5,138.5,137.5,171.5,78,82,74,67.5,68,-73,22,2.5,0.635193133,0.235602094,0.338308458,N/A,0.232804233,0.02617801
50463,cel-miR-64-5p,N/A,110.2335079,N/A,0.624005055,1.431409777,0.893206936,270.5,904.5,468.5,111.5,52.5,56.5,212,835.5,409.5,-146.5,2.5,-23,1.819742489,2.916230366,2.037313433,N/A,0.026455026,N/A
14264,spike_control_c,N/A,3.298429319,N/A,3.074034335,0.479706448,1.474634093,104.5,107,127,64.5,55,61.5,50,40,58.5,-2,4,-12,0.429184549,0.139616056,0.291044776,N/A,0.042328042,N/A
50198,,N/A,1.236910995,N/A,6.230042918,0.309516477,1.928300934,89,87.5,104.5,113.5,54.5,63,38,15,34,-188.5,4,-9,0.326180258,0.052356021,0.169154229,N/A,0.042328042,N/A
