"# This page contains raw intensities for all 8 slides.
# Column ""Block"": block number of each probe.
# Column ""Column"": column number of each probe.
# Column ""Row"": row number of each probe.
# Column ""Name"": the name of each miRNA/probe.
# Column ""ID"": array ID of the probes, each miRNA always has its unique probe, but some miRNAs may have two different probes.
# Column ""ForeGround"": the foreground intensity of each probe.
# Column ""ForeGround-BackGround"": the signal of the probe after background correction.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,ForeGround,,,,,,,,ForeGround-BackGround,,,,,,,
Block,Column,Row,Name,ID,1A_f,1B_f,2A_f,2B_f,3A_f,3B_f,4A_f,4B_f,1A_f_b,1B_f_b,2A_f_b,2B_f_b,3A_f_b,3B_f_b,4A_f_b,4B_f_b
1,9,10,,48966,150,54,77,43,59,54,61,45,-39,-14,0,0,-14,4,18,6
1,10,10,spike_control_g,10905,184,58,62,46,59,48,55,43,-10,-13,-7,2,-14,-4,13,4
1,11,10,,49440,158,57,65,47,55,53,53,43,-39,-13,6,0,-14,5,12,4
1,12,10,,50154,190,59,55,43,57,44,46,44,-32,0,5,-4,-10,-7,3,5
1,13,10,,50265,295,329,83,215,259,115,175,61,70,275,31,167,188,66,133,22
1,14,10,,49523,172,47,59,44,57,54,61,44,-53,-4,6,-2,-13,6,19,4
1,15,10,,50447,136,45,53,55,68,47,47,40,-80,-4,0,9,-1,3,4,1
1,1,11,,49136,129,48,68,44,64,45,54,40,-8,-5,14,0,-7,-7,8,0
1,2,11,,49386,144,73,62,49,69,49,58,41,2,-2,4,5,-7,-2,14,1
1,3,11,,50427,111,68,62,54,71,53,40,43,-27,-2,6,9,-6,3,-7,2
1,4,11,,49375,140,51,58,93,63,57,79,42,1,-4,2,42,-11,8,39,2
1,5,11,,48754,185,186,189,195,546,164,84,142,30,133,127,151,476,114,43,102
1,6,11,,47288,247,118,128,84,88,93,82,78,85,61,64,38,17,41,41,39
1,7,11,,47110,242,87,107,76,74,78,84,64,75,31,42,30,2,24,43,25
1,8,11,,48322,180,47,69,49,56,44,57,49,0,-6,-5,3,-11,-8,15,9
1,9,11,cel-miR-50,49766,170,55,91,51,60,54,82,50,-7,1,16,7,-9,6,41,13
1,10,11,,49892,161,47,73,47,54,49,56,51,-25,-10,1,1,-14,0,15,13
1,11,11,spike_control_e,10906,169,57,92,55,61,57,87,64,-25,0,18,9,-9,7,46,24
1,12,11,,48940,195,55,62,47,63,43,63,49,-13,4,-4,1,-10,-10,20,10
1,13,11,,49154,179,69,61,85,84,55,81,50,-42,18,5,39,15,7,39,11
1,14,11,,50045,173,51,70,56,63,48,71,57,-43,3,19,11,-6,4,25,19
1,15,11,,48028,180,70,63,66,90,60,52,46,-20,23,8,20,13,15,7,8
1,1,12,,48986,179,45,52,48,55,48,49,45,51,-7,0,5,-15,-6,7,5
1,2,12,,49331,128,57,56,48,56,56,71,51,3,-6,0,5,-17,3,29,13
1,3,12,,50437,133,141,87,97,101,141,181,108,6,75,30,50,23,91,139,68
1,4,12,cel-miR-353,49553,113,46,77,52,62,47,56,52,-21,-11,19,-2,-12,-2,17,12
1,5,12,,50027,126,138,141,115,124,183,188,96,-23,74,84,69,54,133,147,57
1,6,12,,49115,183,91,87,88,81,67,97,71,21,26,24,43,9,14,55,32
1,7,12,,49307,190,63,105,53,66,61,55,57,25,5,40,8,-2,8,14,17
1,8,12,,48420,151,58,66,52,57,52,69,46,-21,2,-1,6,-12,-2,27,7
1,9,12,,48305,144,49,78,46,71,50,42,39,-35,-3,8,-2,0,-1,0,0
