"# This page contains raw intensities for all 8 slides.
# Column ""Block"": block number of each probe.
# Column ""Column"": column number of each probe.
# Column ""Row"": row number of each probe.
# Column ""Name"": the name of each miRNA/probe.
# Column ""ID"": array ID of the probes, each miRNA always has its unique probe, but some miRNAs may have two different probes.
# Column ""ForeGround"": the foreground intensity of each probe.
# Column ""ForeGround-BackGround"": the signal of the probe after background correction.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,ForeGround,,,,,,,,ForeGround-BackGround,,,,,,,
Block,Column,Row,Name,ID,1A_f,1B_f,2A_f,2B_f,3A_f,3B_f,4A_f,4B_f,1A_f_b,1B_f_b,2A_f_b,2B_f_b,3A_f_b,3B_f_b,4A_f_b,4B_f_b
25,10,4,,11069,129,55,65,62,80,77,49,63,-97,4,12,2,6,2,0,12
25,11,4,,49391,111,59,60,67,71,77,61,66,-92,9,9,8,-5,2,17,17
25,12,4,,49177,77,59,56,62,64,71,59,51,-115,8,5,3,-14,-2,10,3
25,13,4,,47743,77,66,54,59,73,63,97,54,-110,13,2,-2,-5,-10,49,7
25,14,4,,49605,102,70,69,95,80,80,71,63,-63,15,21,35,1,8,21,15
25,15,4,,49164,86,60,63,68,63,62,67,58,-78,5,11,10,-12,-10,20,11
25,1,5,,47402,130,63,69,66,64,60,90,66,-278,11,19,7,-8,-74,40,19
25,2,5,,50171,96,58,52,59,71,89,88,63,-248,5,2,5,-2,-19,38,16
25,3,5,,50133,175,71,62,70,66,115,122,80,-179,20,10,4,-6,23,76,32
25,4,5,,49124,112,61,53,69,64,73,57,54,-303,10,4,-6,-9,-5,12,6
25,5,5,spike_control_f,14262,82,53,59,70,63,68,67,58,-402,4,9,0,-8,-5,20,10
25,6,5,,49678,104,57,61,72,66,86,71,57,-350,5,10,4,-7,7,24,9
25,7,5,,47600,103,56,56,67,62,76,59,51,-372,6,4,2,-13,1,14,0
25,8,5,cel-miR-248,49976,119,58,63,64,72,62,100,56,-323,5,12,3,-4,-14,54,6
25,9,5,,49209,773,194,226,179,134,259,109,126,415,141,177,120,55,187,60,75
25,10,5,,42731,286,115,88,193,116,118,104,79,-23,64,37,134,36,49,54,28
25,11,5,cel-miR-354,49050,170,84,77,86,83,89,152,84,-98,33,26,29,5,14,103,33
25,12,5,,49500,78,63,58,52,68,60,68,52,-165,13,8,-8,-7,-11,17,1
25,13,5,,48981,133,108,103,80,82,102,95,72,-96,55,53,17,8,25,52,23
25,14,5,,48167,486,272,204,371,984,320,216,206,293,220,156,310,911,246,172,158
25,15,5,,49876,100,94,105,107,217,108,74,92,-83,43,55,48,146,36,27,44
25,1,6,,50376,120,60,54,67,69,82,80,65,-493,6,2,10,-7,-72,33,22
25,2,6,,48933,104,61,50,49,65,71,90,55,-318,10,-2,-8,-8,-58,40,6
25,3,6,cel-miR-62,49704,106,51,60,61,57,62,67,49,-237,2,7,-6,-16,-38,18,1
25,4,6,,49559,150,61,73,82,68,82,77,54,-187,9,20,9,-5,-12,34,4
25,5,6,,50138,97,58,60,57,61,74,68,65,-294,7,10,-11,-11,-8,20,17
25,6,6,spike_control_b,14263,117,50,67,54,62,68,64,70,-327,-3,14,-11,-12,-11,19,19
25,7,6,,50099,126,54,60,71,73,80,78,53,-396,2,9,10,-4,4,28,3
25,8,6,,49087,101,48,54,55,55,61,66,50,-392,-9,3,-5,-22,-17,18,3
25,9,6,,50008,109,60,58,70,75,69,79,63,-316,9,8,11,-5,-5,31,13
25,10,6,,50087,106,56,54,61,72,68,74,62,-281,5,1,4,-9,-2,26,12
25,11,6,,-1,100,60,59,61,63,66,72,59,-276,5,7,3,-12,-5,23,12
25,12,6,,48939,85,56,64,53,54,62,80,55,-241,4,11,-7,-23,-8,29,6
25,13,6,,49289,105,62,60,73,69,77,73,56,-190,8,10,12,-9,5,29,9
25,14,6,cel-miR-262,49180,84,58,60,51,73,70,96,68,-168,6,11,-7,0,-2,49,21
25,15,6,,49451,88,61,57,63,72,71,67,59,-132,10,6,4,1,-3,16,10
25,1,7,cel-miR-46,49334,118,56,56,55,80,111,62,57,-780,3,0,-2,1,-62,10,9
25,2,7,cel-miR-55,49635,534,420,465,326,279,272,312,249,-171,364,411,267,201,119,262,200
25,3,7,,49987,153,71,77,72,68,95,86,76,-349,20,27,7,-8,-35,36,30
25,4,7,,49595,101,61,60,72,60,92,81,58,-276,7,7,4,-14,-23,30,9
25,5,7,,50195,177,96,75,117,91,87,66,60,-163,44,25,49,18,-12,18,12
25,6,7,cel-miR-64,50463,99,46,52,58,50,59,68,59,-262,-4,-1,-7,-28,-23,23,9
25,7,7,spike_control_c,14264,84,59,68,64,60,65,78,47,-351,7,18,1,-17,-13,30,-2
25,8,7,,50198,110,53,59,53,71,65,56,60,-344,2,8,-8,-9,-12,8,12
25,9,7,,25557,1445,313,274,107,193,650,113,124,981,261,223,44,113,578,66,73
25,10,7,,49092,130,61,64,66,69,72,66,60,-328,6,14,7,-10,-2,22,7
25,11,7,,50026,125,67,56,63,69,83,72,51,-295,14,6,6,-4,6,23,0
25,12,7,,49425,120,65,57,65,67,78,62,56,-301,12,8,5,-8,3,9,8
25,13,7,,24136,2474,1153,983,1380,1654,1521,736,953,2028,1100,932,1320,1578,1449,688,906
25,14,7,,49166,89,59,57,80,68,67,60,62,-272,4,7,20,-6,-6,15,16
25,15,7,,49591,79,58,58,71,63,70,78,55,-212,5,8,13,-7,-2,30,9
25,1,8,,47498,143,58,58,61,57,84,75,52,-1185,3,3,3,-19,-133,25,4
25,2,8,,47279,206,53,57,51,58,96,65,45,-865,-1,3,-5,-19,-103,15,-1
25,3,8,,49667,132,50,51,70,63,112,64,52,-746,-2,1,10,-9,-57,8,4
25,4,8,,49894,158,53,62,66,69,104,62,49,-521,0,11,0,0,-23,10,1
25,5,8,,48547,161,69,65,63,72,91,68,68,-346,18,16,-6,-1,-15,18,19
25,6,8,,50407,329,128,129,114,108,185,205,136,-86,76,79,47,27,90,153,87
25,7,8,,50438,111,86,94,286,100,81,58,69,-264,34,43,219,23,-6,12,21
25,8,8,spike_control_j,10899,117,70,58,56,79,83,63,55,-244,20,6,-4,-5,1,15,6
25,9,8,,49962,96,50,50,56,64,64,57,45,-277,-5,0,-3,-19,-8,9,-7
25,10,8,,50068,102,57,52,56,70,63,56,63,-330,6,3,-4,-12,-11,11,10
25,11,8,,49947,137,56,57,60,66,76,54,59,-280,3,8,2,-10,-1,8,7
25,12,8,,47442,93,47,55,54,68,72,64,61,-305,-5,4,-2,-7,-6,18,10
25,13,8,,49629,106,60,59,75,67,78,67,57,-342,9,9,16,-12,4,21,3
25,14,8,,27348,469,143,99,84,104,219,89,68,17,91,48,22,27,149,42,18
25,15,8,,49614,225,505,643,425,246,205,162,154,-193,454,590,366,175,134,113,108
25,1,9,,49727,720,89,81,86,98,155,78,62,-950,35,25,27,25,-100,24,12
25,2,9,,49546,750,69,76,76,82,125,76,51,-731,17,26,17,9,-107,28,1
25,3,9,cel-miR-269,50371,254,61,57,63,75,131,82,52,-997,8,6,-3,2,-74,27,3
25,4,9,,47528,139,57,50,76,84,179,57,53,-932,3,-2,7,12,15,3,2
25,5,9,,49834,96,55,46,68,68,110,47,43,-767,4,-4,0,-7,-6,-8,-6
25,6,9,,49228,140,77,74,64,75,88,62,62,-538,23,22,1,-11,-24,10,12
25,7,9,,50043,1531,779,606,600,644,695,315,344,977,728,554,533,563,591,269,295
25,8,9,,49793,87,58,54,54,62,67,65,57,-346,6,3,-10,-17,-24,16,7
25,9,9,spike_control_d,10904,99,61,54,64,75,85,65,65,-284,9,3,5,-3,5,16,16
25,10,9,,49781,106,64,63,69,73,85,87,64,-284,11,11,11,-7,7,36,14
25,11,9,,48019,81,47,58,52,58,74,56,49,-308,-6,7,-10,-22,-3,2,-3
25,12,9,,47100,126,95,94,189,135,91,82,60,-293,43,41,133,60,12,30,10
25,13,9,,49685,216,123,131,108,107,83,123,74,-277,70,81,48,31,7,69,26
25,14,9,,49336,90,67,59,63,70,68,60,57,-435,12,9,3,-7,-4,4,8
25,15,9,cel-miR-230,49702,1054,157,161,113,336,335,290,118,555,103,108,56,265,261,204,71
25,1,10,,50042,202,76,72,61,99,181,97,54,-1120,18,20,3,16,-109,35,4
25,2,10,,48796,115,51,50,59,78,141,58,57,-1541,-6,-1,1,-6,-121,-4,7
25,3,10,,49773,119,53,56,65,79,105,70,48,-1673,-2,2,0,0,-124,13,0
25,4,10,cel-miR-357,50227,130,53,53,61,81,126,52,60,-1579,1,2,-7,-1,-73,-3,15
25,5,10,,50328,2444,4451,3718,6946,9517,4135,2061,6624,930,4398,3669,6879,9433,3976,2007,6574
25,6,10,,47589,120,45,50,70,78,123,43,47,-1026,-6,-1,9,-3,-3,-10,-2
25,7,10,,50132,91,56,55,56,64,83,58,63,-836,3,4,-4,-8,-35,4,16
25,8,10,,47412,75,52,51,60,71,83,62,58,-637,2,0,-2,-9,-25,15,8
25,9,10,,48966,103,62,56,52,68,77,79,58,-508,11,5,-8,-9,-17,31,10
25,10,10,spike_control_g,10905,91,60,46,54,72,74,60,51,-470,9,-5,-5,-5,-13,15,0
25,11,10,,49440,97,55,61,60,76,63,81,55,-471,1,9,-2,0,-19,34,3
25,12,10,,50154,77,51,49,53,58,71,60,51,-500,-4,-2,-8,-18,-12,9,-1
25,13,10,,50265,670,384,316,326,382,535,498,266,141,329,263,265,306,455,435,220
25,14,10,,49523,72,60,55,57,69,68,84,53,-423,6,0,-4,-6,-6,15,5
25,15,10,,50447,69,49,45,54,65,65,136,55,-410,-10,-10,-6,-6,-10,-32,8
25,1,11,,49136,98,56,61,56,72,92,76,54,-646,-27,-19,-2,-12,-207,-2,7
25,2,11,,49386,158,58,61,52,71,92,80,52,-935,-11,4,-6,-8,-182,10,4
25,3,11,,50427,180,90,62,76,92,117,79,61,-1259,26,8,7,12,-140,12,14
25,4,11,,49375,142,68,57,63,73,176,76,60,-1640,8,9,-6,-4,-50,3,12
25,5,11,,48754,1274,365,308,431,807,397,188,298,-621,308,256,363,728,200,124,248
25,6,11,,47288,508,143,153,107,126,160,138,80,-1190,90,102,43,47,-23,78,32
25,7,11,,47110,245,97,90,79,83,126,103,77,-1219,44,41,13,10,-25,45,26
25,8,11,,48322,147,61,53,60,69,114,64,52,-1080,8,0,2,-7,-9,10,0
25,9,11,cel-miR-50,49766,137,57,64,75,88,90,91,70,-969,4,13,14,12,-30,29,18
25,10,11,,49892,117,54,54,64,60,70,63,57,-845,0,4,3,-15,-42,6,7
25,11,11,spike_control_e,10906,102,69,58,75,70,84,102,59,-816,12,6,14,-4,-22,41,9
25,12,11,,48940,163,61,47,60,65,80,90,55,-752,2,-5,-1,-13,-14,27,7
25,13,11,,49154,250,108,82,106,131,132,138,108,-532,44,29,45,56,39,70,58
25,14,11,,50045,205,70,77,64,78,84,96,69,-394,1,25,5,2,5,15,20
25,15,11,,48028,170,123,63,60,75,76,121,56,-307,33,7,-4,4,-3,-23,8
25,1,12,,48986,118,78,63,57,74,123,98,48,-346,-65,-12,-1,0,-214,-74,3
25,2,12,,49331,138,65,56,53,65,114,96,53,-526,-51,-2,-9,-8,-182,8,5
25,3,12,,50437,193,175,158,191,129,201,339,255,-815,78,105,127,56,-64,266,209
25,4,12,cel-miR-353,49553,113,54,55,64,68,86,99,54,-1393,-30,5,-1,-12,-174,28,5
25,5,12,,50027,197,211,166,156,195,232,339,251,-1647,134,115,87,117,10,266,203
25,6,12,,49115,258,107,80,92,108,148,117,123,-1557,33,27,26,28,-68,43,75
25,7,12,,49307,235,69,68,72,75,104,89,64,-1452,1,17,10,3,-79,20,16
25,8,12,,48420,168,62,62,71,76,93,91,65,-1544,-6,11,8,2,-58,20,16
25,9,12,,48305,134,54,47,49,61,77,100,57,-1692,-17,-3,-13,-18,-65,26,3
25,10,12,,50368,171,50,53,52,67,73,64,48,-1509,-23,2,-11,-10,-63,-8,-1
25,11,12,,47135,170,87,82,75,103,110,140,68,-1271,13,30,13,24,-27,67,18
25,12,12,spike_control_h,10907,145,74,52,62,77,79,90,66,-1098,-11,0,5,0,-50,23,16
25,13,12,,50123,119,60,56,64,58,72,88,54,-956,-31,6,3,-14,-51,19,5
25,14,12,,25611,514,151,124,103,144,276,99,66,-379,53,73,42,70,177,22,19
25,15,12,,49795,258,84,90,92,92,94,152,63,-451,-32,38,30,17,4,71,15
25,1,13,,49143,189,103,63,60,68,175,116,53,-300,-117,8,-1,-11,-205,-89,5
25,2,13,,49885,188,116,77,65,87,147,220,100,-516,-53,26,5,11,-178,121,53
25,3,13,,49284,478,415,216,190,311,426,230,168,-555,270,166,126,237,144,154,123
25,4,13,,48634,96,51,48,49,61,72,61,49,-1463,-75,-3,-19,-11,-195,-4,3
25,5,13,,50091,190,80,74,74,69,104,76,58,-1880,-38,27,6,-7,-150,5,11
25,6,13,,48448,486,107,165,145,109,165,109,65,-1515,-5,113,82,35,-72,33,19
25,7,13,,49302,385,103,151,132,527,205,119,88,-1211,0,100,68,449,-3,46,37
25,8,13,,50146,138,65,67,65,57,93,77,53,-1432,-41,17,1,-21,-95,4,4
25,9,13,,49290,169,59,55,60,67,84,89,55,-1763,-44,2,-3,-6,-82,17,2
25,10,13,,49596,134,63,64,65,71,97,85,66,-1945,-42,13,5,1,-56,17,15
25,11,13,cel-miR-241,49741,213,79,56,75,63,81,86,65,-1717,-35,5,17,-15,-83,14,14
25,12,13,Empty,0,1692,101,54,58,76,159,78,52,-42,-11,4,-2,2,-14,5,1
25,13,13,,50374,125,84,69,68,71,98,91,57,-1547,-33,19,4,-1,-52,23,5
25,14,13,,48566,136,78,64,67,71,90,84,57,-1432,-59,12,5,-7,-42,9,8
25,15,13,,27305,321,138,113,181,325,150,101,91,-938,-26,59,118,252,35,29,43
25,1,14,Hy3,13138,1511,1196,936,832,1378,702,920,934,925,916,875,769,1303,239,804,886
25,2,14,,50414,173,78,56,55,71,97,77,52,-615,-109,1,-7,-3,-313,-3,6
25,3,14,,49458,162,85,45,53,81,157,90,51,-872,-65,-5,-16,5,-188,23,5
25,4,14,,49393,130,73,45,62,65,99,69,44,-1265,-71,-5,-4,-11,-211,-7,-2
25,5,14,cel-miR-75,49868,226,78,58,56,75,119,82,86,-2338,-61,9,-11,1,-149,15,37
25,6,14,,49883,212,92,69,97,124,140,71,67,-2103,-44,15,30,46,-110,0,18
25,7,14,,50273,1024,918,766,507,463,863,2709,733,-477,784,713,442,386,630,2640,682
25,8,14,,49700,95,72,55,64,66,108,78,57,-995,-61,4,3,-11,-111,10,8
25,9,14,,49384,122,79,62,59,53,100,75,61,-1032,-50,9,-3,-24,-97,8,13
25,10,14,,49040,131,96,64,73,73,87,126,99,-1199,-32,14,10,-5,-99,51,48
25,11,14,,49679,105,71,53,49,63,85,65,51,-1303,-60,2,-13,-10,-105,-7,0
25,12,14,,47178,173,75,55,48,62,93,62,55,-1230,-62,1,-16,-11,-108,-9,4
25,13,14,Empty,0,1594,148,50,62,77,190,73,54,-20,7,-2,-5,3,3,6,6
25,14,14,Hy3,13138,2374,666,485,485,873,470,726,550,376,521,434,420,794,306,653,500
25,15,14,Hy3,13138,2404,576,331,610,678,394,924,455,367,419,281,547,603,250,854,405
26,1,1,Hy3,13138,1573,1339,2702,3070,1925,2207,4106,1464,1508,1288,2652,3011,1851,2137,4058,1412
26,2,1,,4700,71,64,54,73,69,75,58,56,7,12,6,13,-4,7,10,7
26,3,1,,11038,131,109,128,123,105,87,99,82,68,58,76,63,33,16,52,33
26,4,1,,30442,64,83,62,59,80,90,67,54,1,31,12,0,7,20,20,8
26,5,1,,13147,60,56,59,66,76,66,80,54,-1,5,12,1,-2,-3,28,8
26,6,1,,42761,74,62,57,79,88,76,64,54,12,10,9,10,17,8,16,7
26,7,1,,10988,72,57,49,58,60,55,63,50,12,6,1,-14,-7,-12,8,7
26,8,1,,11165,73,65,67,76,71,65,82,62,12,12,20,4,2,-5,19,16
26,9,1,,42719,123,92,83,110,83,93,107,106,64,39,33,36,14,23,31,60
26,10,1,,42957,100,149,124,112,129,132,80,67,43,96,70,43,56,62,-27,22
26,11,1,,42525,65,61,57,67,75,69,67,60,7,9,5,7,5,-1,-17,15
26,12,1,,42910,66,60,77,69,70,69,86,56,3,8,25,9,-3,1,-9,11
26,13,1,,27536,69,64,55,62,65,66,67,64,12,11,4,6,-9,-4,2,15
26,14,1,,10944,64,54,64,57,63,68,79,56,8,1,10,0,-10,0,30,9
26,15,1,Hy3,13138,1707,781,1862,1450,2019,1954,5092,1638,1647,726,1807,1395,1945,1884,5043,1589
26,1,2,,28759,62,64,56,76,66,70,71,49,-4,14,6,16,-8,0,25,2
26,2,2,,42764,78,82,68,62,71,82,87,64,11,30,18,0,-1,14,40,17
26,3,2,,42704,92,61,62,83,85,68,75,66,28,10,10,27,12,-5,26,21
26,4,2,,42912,59,57,50,59,60,69,56,51,-5,6,0,1,-10,-3,2,4
26,5,2,,42988,52,54,59,55,64,66,63,56,-10,2,10,-9,-11,-2,12,11
26,6,2,,42917,814,562,526,379,390,464,1113,376,750,513,477,308,322,398,1055,328
26,7,2,,19582,69,76,49,64,74,73,77,60,8,25,-1,-12,4,4,1,12
26,8,2,,42549,57,64,53,71,58,62,91,50,-6,11,5,-7,-12,-8,-44,3
26,9,2,,-1,77,92,65,64,97,84,108,70,18,39,15,-15,28,15,-41,23
26,10,2,,27263,1723,3914,1895,4462,3991,3022,425,965,1666,3862,1844,4387,3921,2954,229,919
26,11,2,,10990,72,61,63,66,67,75,121,59,12,7,12,8,-5,6,-23,14
26,12,2,,17849,56,55,61,49,61,67,81,53,-4,2,8,-8,-8,-3,-82,8
26,13,2,,11018,76,96,81,82,110,83,129,63,14,42,31,25,36,16,50,14
26,14,2,,46721,61,80,72,70,74,69,74,57,3,26,22,14,1,1,24,8
26,15,2,,42875,74,86,80,68,73,80,111,68,15,31,27,10,0,11,63,21
26,1,3,,42811,55,53,49,67,63,62,55,63,-16,0,0,5,-13,-10,8,16
26,2,3,,17927,63,57,57,74,73,68,76,52,-3,4,8,11,-2,1,26,4
26,3,3,spike_control_i,14257,67,62,66,70,81,80,57,55,4,11,16,15,10,10,8,6
26,4,3,,17593,65,48,56,59,57,57,75,54,3,-4,7,1,-14,-15,22,6
26,5,3,,46259,101,101,100,89,109,87,105,88,39,49,52,25,37,13,49,42
26,6,3,,42744,70,62,59,67,66,70,73,57,7,12,9,-5,-3,2,15,10
26,7,3,,42766,60,48,54,68,58,60,102,54,-5,-5,5,-5,-14,-11,19,8
26,8,3,,42507,61,50,56,70,54,62,105,49,-2,-6,7,-3,-20,-8,-134,2
26,9,3,Empty,0,57,52,46,74,75,66,219,52,-5,0,-6,-4,6,0,-11,5
26,10,3,,11088,79,71,65,97,72,74,106,69,15,20,16,27,3,7,-68,21
26,11,3,,50444,135,170,138,207,184,120,111,124,73,116,88,150,113,52,-18,78
26,12,3,,50108,56,55,55,52,52,65,70,43,-4,3,3,-4,-21,-6,-30,-5
26,13,3,,47255,63,66,53,57,75,65,72,55,0,14,2,-1,2,-3,17,7
26,14,3,,50356,54,55,50,64,79,58,55,52,-9,3,0,3,7,-12,2,5
26,15,3,,50148,4405,6668,4584,6407,9668,6267,3645,4417,4344,6612,4532,6347,9596,6195,3590,4368
26,1,4,,49204,192,58,47,74,66,62,49,57,123,3,-4,11,-13,-10,-3,7
26,2,4,,49653,71,57,56,59,68,67,44,58,8,5,5,-8,-8,-1,-16,9
26,3,4,,50389,57,50,49,60,79,80,57,57,-4,-2,-3,0,10,9,-1,8
26,4,4,spike_control_a,14261,61,53,50,59,76,68,44,53,-3,2,-1,1,7,0,-16,4
26,5,4,,49008,62,54,58,56,58,69,62,53,1,1,8,-13,-11,-3,-2,9
26,6,4,,49300,297,436,366,1070,425,230,236,248,235,384,316,995,353,157,177,201
26,7,4,,49797,68,63,50,72,66,69,68,40,6,13,1,-1,-5,1,2,-8
26,8,4,,47525,71,59,56,79,68,73,102,54,9,8,7,5,-4,3,-14,8
26,9,4,,49478,73,54,49,76,63,70,146,51,8,1,-1,-3,-8,2,-51,4
26,10,4,,49565,149,172,124,121,308,255,133,120,89,122,75,50,236,185,-23,72
26,11,4,,50431,65,57,57,58,58,58,81,52,4,4,7,1,-14,-11,2,4
26,12,4,,49224,975,2240,1399,2278,3833,2016,763,2030,913,2185,1350,2223,3764,1947,703,1980
26,13,4,,49911,59,56,61,53,58,66,56,50,-3,4,12,-4,-12,-2,5,2
26,14,4,,49100,1530,3144,2069,3826,6371,3151,1578,2747,1468,3092,2019,3767,6299,3080,1528,2698
26,15,4,cel-miR-239b,49621,58,52,52,57,57,50,59,57,-4,-1,2,0,-18,-22,6,5
26,1,5,,49624,83,68,63,69,71,75,61,60,5,17,13,7,-3,3,7,15
26,2,5,,48165,834,760,635,2205,2592,980,407,568,765,707,585,2147,2517,905,343,518
26,3,5,,48967,163,180,141,432,270,130,83,96,97,128,88,374,197,59,17,48
26,4,5,,49494,69,62,56,66,66,59,82,58,5,9,3,4,-9,-13,17,9
26,5,5,spike_control_f,14262,63,48,57,64,71,68,71,54,-3,-5,8,-3,6,0,7,5
26,6,5,,50100,62,60,59,69,65,79,68,51,-1,9,8,-6,-5,10,7,3
26,7,5,cel-miR-2,49594,69,55,60,64,71,65,58,58,7,4,7,-6,-1,-2,-7,12
26,8,5,,50360,91,63,58,59,68,61,84,53,30,12,8,-15,-1,-9,4,7
26,9,5,,49297,60,56,50,54,57,59,84,46,-3,2,1,-24,-14,-7,-25,0
26,10,5,,49687,66,66,53,71,66,56,83,64,4,15,2,-2,-5,-12,-16,17
26,11,5,,49554,64,57,55,55,55,66,71,54,2,7,4,-3,-15,-5,8,6
26,12,5,,49545,140,259,172,435,285,162,128,123,77,201,123,378,215,92,73,77
26,13,5,,49514,59,57,59,61,59,58,83,51,-2,3,8,2,-12,-15,34,3
26,14,5,,30293,61,64,63,70,78,68,78,75,2,12,11,11,5,-1,29,27
26,15,5,,50425,61,77,76,65,70,77,87,73,3,21,23,10,-7,7,32,22
26,1,6,,50450,86,92,62,94,114,139,81,79,-36,41,13,36,35,70,20,33
26,2,6,,49579,110,107,117,402,117,83,108,91,15,56,66,340,41,10,46,43
26,3,6,,49829,85,72,60,67,78,70,78,52,12,19,9,7,6,0,12,2
26,4,6,,49173,103,116,104,99,162,122,74,65,40,64,54,38,89,52,9,15
26,5,6,,49401,68,59,49,67,69,65,85,59,2,5,1,2,-4,-4,25,12
26,6,6,spike_control_b,14263,64,56,60,60,53,67,78,66,2,5,13,-11,-19,0,14,17
26,7,6,,49787,93,78,71,110,79,75,97,67,28,24,21,41,6,5,34,17
26,8,6,,28568,1059,1705,1204,1781,2068,1903,816,987,999,1654,1153,1709,1999,1834,747,938
26,9,6,,49473,71,71,66,86,69,73,91,62,7,17,15,9,1,2,27,17
26,10,6,,47214,76,69,62,60,73,71,86,55,13,16,11,-7,2,-2,20,8
26,11,6,,47116,58,58,67,56,65,69,65,48,-1,6,19,1,-8,-4,8,-1
26,12,6,,49599,81,68,67,59,65,71,75,58,22,12,20,3,-7,2,25,12
26,13,6,,48862,113,104,95,92,81,86,117,84,50,51,45,34,11,18,67,37
26,14,6,,50239,102,132,89,105,108,131,87,70,39,77,39,48,37,61,37,26
26,15,6,,49226,65,75,47,55,76,77,62,60,3,18,-5,0,1,8,9,9
26,1,7,,49101,76,63,62,84,80,67,74,68,-94,11,8,22,10,-6,14,20
26,2,7,,49495,76,52,53,51,59,64,70,54,-78,-2,3,-10,-12,-7,5,6
26,3,7,,27777,80,65,53,60,59,73,92,59,-46,11,3,0,-16,1,28,11
26,4,7,,50391,76,57,53,57,62,70,76,54,-15,-4,4,-5,-11,0,13,7
26,5,7,cel-miR-790,50420,69,50,54,80,55,71,76,54,-3,-13,4,12,-19,3,12,6
26,6,7,,49369,178,171,100,239,490,224,181,103,115,111,50,170,423,154,122,57
26,7,7,spike_control_c,14264,64,62,61,62,58,58,80,59,1,4,11,-6,-15,-10,22,14
26,8,7,cel-miR-240,49047,105,74,82,81,76,85,109,105,42,21,34,12,8,16,54,58
26,9,7,,49600,59,66,66,80,58,67,83,63,-6,14,17,7,-12,0,28,17
26,10,7,,49337,182,218,101,98,224,193,77,68,119,166,50,29,149,124,24,22
26,11,7,,49341,75,75,54,61,84,76,60,50,16,18,3,6,9,7,4,1
26,12,7,,49362,60,115,50,66,103,83,47,51,-1,54,0,10,31,14,-2,4
26,13,7,,47824,58,57,53,60,65,74,80,62,-9,2,3,4,-8,5,35,17
26,14,7,,48399,66,62,57,69,63,79,63,61,2,8,8,9,-8,9,11,14
26,15,7,,49616,73,61,57,53,67,63,72,54,12,9,8,-3,-8,-10,18,3
26,1,8,,50206,92,68,66,67,68,67,69,56,-89,4,15,4,-6,-6,3,10
26,2,8,,49581,616,1175,778,1514,2874,1104,188,473,435,1107,729,1455,2803,1035,121,428
26,3,8,,49346,80,63,50,63,79,73,98,55,-87,-7,2,0,6,1,34,7
26,4,8,,50004,76,61,56,55,59,52,61,55,-75,-10,6,-5,-17,-19,0,8
26,5,8,,42759,68,59,60,57,61,74,55,57,-51,-11,9,-7,-13,2,-10,8
26,6,8,,47000,81,73,61,80,73,81,64,60,-3,7,14,8,2,10,3,14
26,7,8,,-1,79,61,59,56,71,71,93,53,13,-2,9,-15,-2,3,29,7
26,8,8,spike_control_j,10899,73,75,55,69,66,73,64,49,10,15,7,3,-4,2,0,2
26,9,8,,49588,108,77,81,71,87,84,108,72,44,20,34,-3,13,14,51,25
26,10,8,,47413,66,71,65,77,71,76,74,61,3,15,15,10,-2,2,19,11
26,11,8,,47222,405,445,436,375,393,182,139,154,341,393,385,318,321,113,83,107
26,12,8,,49482,66,60,61,58,77,73,69,67,3,5,11,3,6,2,15,21
26,13,8,,47767,3619,5229,2813,6613,9470,5253,1482,3343,3558,5176,2762,6557,9398,5181,1431,3295
26,14,8,,48584,67,63,57,62,74,60,56,56,3,11,5,3,0,-10,8,7
26,15,8,,49818,98,147,110,235,351,128,80,86,36,90,58,180,276,55,33,37
26,1,9,,49991,101,76,63,81,62,66,74,62,-141,-3,16,21,-11,-7,3,14
26,2,9,,49197,76,65,65,73,60,66,74,63,-132,-20,16,13,-11,-5,6,15
26,3,9,,50128,473,368,333,200,267,288,206,146,274,285,283,140,193,215,143,98
26,4,9,,48365,85,80,66,65,71,65,92,60,-105,-2,16,1,-3,-8,32,13
26,5,9,cel-miR-1830,49846,79,60,68,80,67,61,83,56,-102,-21,17,11,-4,-11,17,8
26,6,9,,48815,76,65,62,58,61,63,80,50,-76,-9,15,-12,-9,-10,15,5
26,7,9,,48814,268,422,155,269,426,240,283,121,167,357,108,200,356,170,221,74
26,8,9,,48132,68,59,53,71,82,63,81,63,-1,-3,6,3,11,-8,18,14
26,9,9,spike_control_d,10904,62,60,55,74,85,69,64,52,-1,0,9,-3,11,-1,7,5
26,10,9,,49886,56,57,49,67,67,86,85,55,-7,1,-2,0,-9,13,31,6
26,11,9,,50470,70,61,57,62,73,59,61,55,5,8,8,7,3,-8,7,7
26,12,9,,47218,62,56,64,61,66,61,90,67,-2,1,14,4,-10,-6,39,19
26,13,9,,49405,75,64,55,66,69,82,90,64,11,3,7,9,-4,13,40,14
26,14,9,,49567,57,55,60,50,54,65,70,65,-5,0,12,-7,-22,-4,24,16
26,15,9,,49510,163,160,110,220,269,154,181,102,100,104,61,166,195,84,132,54
26,1,10,,42564,1497,1347,711,976,1685,1840,627,553,1130,1247,662,912,1611,1766,547,505
26,2,10,,49472,196,160,74,137,153,126,107,62,-110,62,23,76,78,57,37,13
26,3,10,,50266,85,74,54,58,75,68,69,54,-181,-19,2,-3,2,-2,9,7
26,4,10,,49028,107,82,57,68,84,87,73,56,-113,-5,7,7,7,15,14,10
